agency_cd,site_no,datetime,tz_cd,89062_00060,89062_00060_cd,89063_00065,89063_00065_cd
USGS,2085070,2020-11-14 19:30,EST,288,P,2.91,P
USGS,2085070,2020-11-14 19:45,EST,285,P,2.9,P
USGS,2085070,2020-11-14 20:00,EST,285,P,2.9,P
USGS,2085070,2020-11-14 20:15,EST,278,P,2.88,P
USGS,2085070,2020-11-14 20:30,EST,282,P,2.89,P
USGS,2085070,2020-11-14 20:45,EST,282,P,2.89,P
USGS,2085070,2020-11-14 21:00,EST,275,P,2.87,P
USGS,2085070,2020-11-14 21:15,EST,275,P,2.87,P
USGS,2085070,2020-11-14 21:30,EST,272,P,2.86,P
USGS,2085070,2020-11-14 21:45,EST,265,P,2.84,P
USGS,2085070,2020-11-14 22:00,EST,269,P,2.85,P
USGS,2085070,2020-11-14 22:15,EST,265,P,2.84,P
USGS,2085070,2020-11-14 22:30,EST,265,P,2.84,P
USGS,2085070,2020-11-14 22:45,EST,262,P,2.83,P
USGS,2085070,2020-11-14 23:00,EST,259,P,2.82,P
USGS,2085070,2020-11-14 23:15,EST,256,P,2.81,P
USGS,2085070,2020-11-14 23:30,EST,256,P,2.81,P
USGS,2085070,2020-11-14 23:45,EST,253,P,2.8,P
USGS,2085070,2020-11-15 00:00,EST,250,P,2.79,P
USGS,2085070,2020-11-15 00:15,EST,250,P,2.79,P
USGS,2085070,2020-11-15 00:30,EST,250,P,2.79,P
USGS,2085070,2020-11-15 00:45,EST,250,P,2.79,P
USGS,2085070,2020-11-15 01:00,EST,247,P,2.78,P
USGS,2085070,2020-11-15 01:15,EST,247,P,2.78,P
USGS,2085070,2020-11-15 01:30,EST,244,P,2.77,P
USGS,2085070,2020-11-15 01:45,EST,244,P,2.77,P
USGS,2085070,2020-11-15 02:00,EST,244,P,2.77,P
USGS,2085070,2020-11-15 02:15,EST,241,P,2.76,P
USGS,2085070,2020-11-15 02:30,EST,236,P,2.74,P
USGS,2085070,2020-11-15 02:45,EST,238,P,2.75,P
USGS,2085070,2020-11-15 03:00,EST,236,P,2.74,P
USGS,2085070,2020-11-15 03:15,EST,236,P,2.74,P
USGS,2085070,2020-11-15 03:30,EST,236,P,2.74,P
USGS,2085070,2020-11-15 03:45,EST,233,P,2.73,P
USGS,2085070,2020-11-15 04:00,EST,230,P,2.72,P
USGS,2085070,2020-11-15 04:15,EST,230,P,2.72,P
USGS,2085070,2020-11-15 04:30,EST,230,P,2.72,P
USGS,2085070,2020-11-15 04:45,EST,230,P,2.72,P
USGS,2085070,2020-11-15 05:00,EST,227,P,2.71,P
USGS,2085070,2020-11-15 05:15,EST,227,P,2.71,P
USGS,2085070,2020-11-15 05:30,EST,225,P,2.7,P
USGS,2085070,2020-11-15 05:45,EST,225,P,2.7,P
USGS,2085070,2020-11-15 06:00,EST,222,P,2.69,P
USGS,2085070,2020-11-15 06:15,EST,225,P,2.7,P
USGS,2085070,2020-11-15 06:30,EST,222,P,2.69,P
USGS,2085070,2020-11-15 06:45,EST,219,P,2.68,P
USGS,2085070,2020-11-15 07:00,EST,219,P,2.68,P
USGS,2085070,2020-11-15 07:15,EST,217,P,2.67,P
USGS,2085070,2020-11-15 07:30,EST,217,P,2.67,P
USGS,2085070,2020-11-15 07:45,EST,217,P,2.67,P
USGS,2085070,2020-11-15 08:00,EST,214,P,2.66,P
USGS,2085070,2020-11-15 08:15,EST,214,P,2.66,P
USGS,2085070,2020-11-15 08:30,EST,214,P,2.66,P
USGS,2085070,2020-11-15 08:45,EST,212,P,2.65,P
USGS,2085070,2020-11-15 09:00,EST,209,P,2.64,P
USGS,2085070,2020-11-15 09:15,EST,209,P,2.64,P
USGS,2085070,2020-11-15 09:30,EST,209,P,2.64,P
USGS,2085070,2020-11-15 09:45,EST,209,P,2.64,P
USGS,2085070,2020-11-15 10:00,EST,209,P,2.64,P
USGS,2085070,2020-11-15 10:15,EST,206,P,2.63,P
USGS,2085070,2020-11-15 10:30,EST,206,P,2.63,P
USGS,2085070,2020-11-15 10:45,EST,204,P,2.62,P
USGS,2085070,2020-11-15 11:00,EST,204,P,2.62,P
USGS,2085070,2020-11-15 11:15,EST,204,P,2.62,P
USGS,2085070,2020-11-15 11:30,EST,201,P,2.61,P
USGS,2085070,2020-11-15 11:45,EST,204,P,2.62,P
USGS,2085070,2020-11-15 12:00,EST,201,P,2.61,P
USGS,2085070,2020-11-15 12:15,EST,199,P,2.6,P
USGS,2085070,2020-11-15 12:30,EST,197,P,2.59,P
USGS,2085070,2020-11-15 12:45,EST,197,P,2.59,P
USGS,2085070,2020-11-15 13:00,EST,199,P,2.6,P
USGS,2085070,2020-11-15 13:15,EST,197,P,2.59,P
USGS,2085070,2020-11-15 13:30,EST,194,P,2.58,P
USGS,2085070,2020-11-15 13:45,EST,194,P,2.58,P
USGS,2085070,2020-11-15 14:00,EST,194,P,2.58,P
USGS,2085070,2020-11-15 14:15,EST,192,P,2.57,P
USGS,2085070,2020-11-15 14:30,EST,189,P,2.56,P
USGS,2085070,2020-11-15 14:45,EST,192,P,2.57,P
USGS,2085070,2020-11-15 15:00,EST,192,P,2.57,P
USGS,2085070,2020-11-15 15:15,EST,192,P,2.57,P
USGS,2085070,2020-11-15 15:30,EST,189,P,2.56,P
USGS,2085070,2020-11-15 15:45,EST,189,P,2.56,P
USGS,2085070,2020-11-15 16:00,EST,189,P,2.56,P
USGS,2085070,2020-11-15 16:15,EST,189,P,2.56,P
USGS,2085070,2020-11-15 16:30,EST,187,P,2.55,P
USGS,2085070,2020-11-15 16:45,EST,187,P,2.55,P
USGS,2085070,2020-11-15 17:00,EST,185,P,2.54,P
USGS,2085070,2020-11-15 17:15,EST,185,P,2.54,P
USGS,2085070,2020-11-15 17:30,EST,185,P,2.54,P
USGS,2085070,2020-11-15 17:45,EST,183,P,2.53,P
USGS,2085070,2020-11-15 18:00,EST,183,P,2.53,P
USGS,2085070,2020-11-15 18:15,EST,183,P,2.53,P
USGS,2085070,2020-11-15 18:30,EST,183,P,2.53,P
USGS,2085070,2020-11-15 18:45,EST,180,P,2.52,P
USGS,2085070,2020-11-15 19:00,EST,183,P,2.53,P
USGS,2085070,2020-11-15 19:15,EST,183,P,2.53,P
USGS,2085070,2020-11-15 19:30,EST,180,P,2.52,P
USGS,2085070,2020-11-15 19:45,EST,178,P,2.51,P
USGS,2085070,2020-11-15 20:00,EST,178,P,2.51,P
USGS,2085070,2020-11-15 20:15,EST,178,P,2.51,P
